@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
51,0,1778,313,0.850311,1,0.027884,1,0.972116,0.054255,0.853875,1.171132,0
51,0,1777,314,0.849833,1,0.027899,1,0.972101,0.054284,0.853408,1.171772,0
51,0,1776,315,0.849354,1,0.027915,1,0.972085,0.054313,0.852941,1.172414,0
51,0,1775,316,0.848876,1,0.02793,1,0.97207,0.054342,0.852474,1.173056,0
51,0,1774,317,0.848398,1,0.027945,1,0.972055,0.054371,0.852007,1.173699,0
51,0,1773,318,0.84792,1,0.027961,1,0.972039,0.0544,0.851541,1.174342,0
51,0,1772,319,0.847441,1,0.027976,1,0.972024,0.054429,0.851074,1.174986,0
51,0,1771,320,0.846963,1,0.027991,1,0.972009,0.054458,0.850607,1.175631,0
51,0,1770,321,0.846485,1,0.028007,1,0.971993,0.054487,0.85014,1.176277,0
51,0,1769,322,0.846007,1,0.028022,1,0.971978,0.054516,0.849673,1.176923,0
51,0,1768,323,0.845528,1,0.028037,1,0.971963,0.054545,0.849206,1.17757,0
51,0,1767,324,0.84505,1,0.028053,1,0.971947,0.054575,0.848739,1.178218,0
51,0,1766,325,0.844572,1,0.028068,1,0.971932,0.054604,0.848273,1.178866,0
51,0,1765,326,0.844094,1,0.028084,1,0.971916,0.054633,0.847806,1.179515,0
51,0,1764,327,0.843615,1,0.028099,1,0.971901,0.054662,0.847339,1.180165,0
51,0,1763,328,0.843137,1,0.028115,1,0.971885,0.054692,0.846872,1.180816,0
51,0,1762,329,0.842659,1,0.02813,1,0.97187,0.054721,0.846405,1.181467,0
51,0,1761,330,0.842181,1,0.028146,1,0.971854,0.05475,0.845938,1.182119,0
51,0,1760,331,0.841703,1,0.028161,1,0.971839,0.05478,0.845472,1.182772,0
51,0,1759,332,0.841224,1,0.028177,1,0.971823,0.054809,0.845005,1.183425,0
51,0,1758,333,0.840746,1,0.028192,1,0.971808,0.054839,0.844538,1.18408,0
51,0,1757,334,0.840268,1,0.028208,1,0.971792,0.054868,0.844071,1.184735,0
51,0,1756,335,0.83979,1,0.028224,1,0.971776,0.054898,0.843604,1.18539,0
51,0,1755,336,0.839311,1,0.028239,1,0.971761,0.054927,0.843137,1.186047,0
51,0,1754,337,0.838833,1,0.028255,1,0.971745,0.054957,0.84267,1.186704,0
